update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,return_bolt_mean,return_bolt_std,return_bolt_min,return_bolt_max,return_vanilla_mean,return_vanilla_std,return_vanilla_min,return_vanilla_max,success_rate,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
1,13,2560,694.7051862247857,3,0.16291503980755806,0.3294054315415793,0.0,0.971875011920929,0.0,0.0,0.0,0.0,0.16291503980755806,0.3294054315415793,0.0,0.971875011920929,0.203125,2.859375,7.365178179064984,0.0,34.0,1.9310398995876312,0.24050175435841084,-0.8712870690971612,10.135764360427856,4.177284836769104,2.622735857963562
2,76,5120,825.7491930475195,6,0.07320556696504354,0.2042131923021382,0.0,0.9296875,0.0019897460006177425,0.015793119269459758,0.0,0.12734374403953552,0.07121582049876451,0.20180059705750428,0.0,0.9296875,0.15625,60.046875,12.321766421028075,5.0,64.0,1.9239174008369446,0.18046558536589147,-0.21871871277689933,3.1131611841730775,1.318622887134552,1.1855639219284058
3,92,7680,839.1691290948542,9,0.15672607440501451,0.3036878454705267,0.0,0.9296875,0.00628662109375,0.03735640208655961,0.0,0.2750000059604645,0.15043945331126451,0.2949274983394153,0.0,0.9296875,0.234375,54.96875,18.23284189141945,5.0,64.0,1.9165280610322952,0.2846102207899094,-0.5078306229319424,5.243469078652561,2.0947388410568237,1.810475766658783
4,156,10240,823.9864287346649,12,0.06688232370652258,0.21505944243282762,0.0,1.1203124523162842,0.006726074148900807,0.04673943077381242,0.0,0.3734374940395355,0.060156250139698386,0.18962057732128754,0.0,0.8031250238418579,0.109375,60.5,11.513578939669454,14.0,64.0,1.9094922304153443,0.3387398734688759,-0.46092383079230786,6.2141919225454325,2.627077341079712,1.7680402994155884
5,208,12800,831.7127487450047,16,0.11188964918255806,0.24756822309787155,0.0,1.1203124523162842,0.012231445172801614,0.05799469382100634,0.0,0.3734374940395355,0.0996582037769258,0.21520361854810724,0.0,0.8031250238418579,0.21875,58.46875,12.809870156933677,14.0,64.0,1.8910345166921616,0.353983573615551,-0.23150390381924807,2.6754329167306423,1.0873021706938744,1.4687708020210266
6,238,15360,838.5214608463137,19,0.14572753943502903,0.270345696816811,0.0,0.831250011920929,0.0025390624068677425,0.020153183075535437,0.0,0.16249999403953552,0.1431884765625,0.2678756859682035,0.0,0.831250011920929,0.234375,55.484375,16.15742107699663,12.0,64.0,1.8860156834125519,0.48743702918291093,-0.8615544520318508,8.9326941549778,3.585932493209839,2.3663787841796875
7,296,17920,827.1811953916624,22,0.1856689469423145,0.2894522774069896,0.0,0.9156249761581421,0.0025390624068677425,0.020153183075535437,0.0,0.16249999403953552,0.18312988406978548,0.28749962735874623,0.0,0.9156249761581421,0.34375,53.421875,17.54530269001863,6.0,64.0,1.8736527740955353,0.7228095740079881,-0.713251281157136,8.643443220853804,3.5897339582443237,2.7724794149398804
8,350,20480,826.9362500652697,25,0.19934081891551614,0.31775186248297216,0.0,0.9156249761581421,0.0,0.0,0.0,0.0,0.19934081891551614,0.31775186248297216,0.0,0.9156249761581421,0.3125,52.046875,19.565937946706644,6.0,64.0,1.8528417855501176,0.6904424190521241,-0.4055611502379179,7.05594979301095,3.103885054588318,2.470095992088318
9,395,23040,830.9294485805721,28,0.21474609430879354,0.33129627775338893,0.0,0.971875011920929,0.0,0.0,0.0,0.0,0.21474609430879354,0.33129627775338893,0.0,0.971875011920929,0.328125,51.0625,20.499904725388358,2.0,64.0,1.826541778445244,0.9012035936117173,-0.9669177286326884,12.512311305850744,5.270972967147827,3.274663209915161
10,452,25600,829.8479382401401,31,0.23305664106737822,0.32242224952366516,0.0,0.971875011920929,0.008935546968132257,0.04425776002273249,0.0,0.25390625,0.22412109409924597,0.3128070863303057,0.0,0.971875011920929,0.421875,51.0625,19.393035960106918,2.0,64.0,1.7917647778987884,1.0994575291872026,-0.9638822883367538,11.731987583637238,4.884193420410156,3.457479238510132
11,495,28160,842.639577687409,34,0.30156250088475645,0.35213462673567014,0.0,0.957812488079071,0.0,0.0,0.0,0.0,0.30156250088475645,0.35213462673567014,0.0,0.957812488079071,0.484375,46.0,21.96374854163105,3.0,64.0,1.7942562967538833,1.2502153605222701,-0.8725659854710102,11.082525205612182,4.650754332542419,3.506500005722046
12,559,30720,835.5806238136415,37,0.2326416018186137,0.322668440890011,0.0,0.9859374761581421,0.0,0.0,0.0,0.0,0.2326416018186137,0.322668440890011,0.0,0.9859374761581421,0.390625,50.234375,19.878334773299674,1.0,64.0,1.7814006507396698,1.3944262117147446,-1.033514455705881,12.561590373516083,5.229467272758484,4.057164788246155
13,606,33280,843.3254837033718,40,0.3274902328848839,0.36848742447057975,0.0,0.9859374761581421,0.0,0.0,0.0,0.0,0.3274902328848839,0.36848742447057975,0.0,0.9859374761581421,0.484375,44.15625,22.988596867523256,1.0,64.0,1.7847792774438858,1.4469501793384552,-0.583507776260376,10.28866708278656,4.542977690696716,3.565413236618042
14,666,35840,848.8712468141887,43,0.3338378907646984,0.338000849126064,0.0,0.9437500238418579,0.0037597655318677425,0.02097035749757616,0.0,0.12734374403953552,0.33007812476716936,0.33833605167407715,0.0,0.9437500238418579,0.59375,44.75,21.34098170188054,4.0,64.0,1.7585092037916183,1.6864786207675935,-1.353490149974823,15.352386903762817,6.3051183223724365,5.067789554595947
15,727,38400,843.8998711760828,46,0.38625488081015646,0.3619242505582943,0.0,0.9437500238418579,0.004077148623764515,0.03236136395019048,0.0,0.26093751192092896,0.3821777331177145,0.3588910318897274,0.0,0.9437500238418579,0.609375,41.15625,22.63585288734445,4.0,64.0,1.7192815899848939,1.8353102505207062,-0.9724257425405085,13.995128536224364,6.00794529914856,4.623972177505493
